"site_ID","main_isld","region","DOC_region","area","DOC_code","DOC_name","DOC_size","DOC_pc","S1_area_pc","S2_area_pc","S3_area_pc","S1_limits","S2_limits","S3_limits","S1_uncrt","S2_uncrt","S3_uncrt","MESS_class","dissim_var","hum_im_pc","rd_sl_mi","rd_unsl_mi","fences","graze_pc","in_watr_mi","in_watr_me","in_watr_mx","pine_pc","curr_NZSL","histr_NZSL","X","Y","id"
"HWT-41","North Island","Taranaki Region","Hauraki-Waikato-Taranaki",0.92,"70562","Cape Egmont Marginal Strip",0,0.03,64.48,19.01,68.13,"grass distance","grass distance","grass distance",1.06,0.56,0.7,"low","land cover",0,0.38,0.07,"absent",34.92,0.07,1.66,4.93,NA,NA,NA,1666032.51014885,5646175.60893099,81
"HWT-42","North Island","Taranaki Region","Hauraki-Waikato-Taranaki",0.48,"70673","Oaonui Recreation Reserve",0.11,22.23,84.73,0,85.12,"grass distance","grass distance","grass distance",0.79,0.43,0.65,"low","grass distance",42.95,0,1.99,"present",17.43,0.03,0.62,1.3,NA,NA,NA,1667978.63842174,5638474.43402329,82
"HWT-43","North Island","Taranaki Region","Hauraki-Waikato-Taranaki",0.91,"70787; 70785","Rifle Range Road No 2 Marginal Strip (Hawera); Ohawe - Hawera Marginal Strip",0.07,7.93,100,0,50.07,"grass distance","grass distance","grass distance",0.69,0.61,0.81,"none","slope",3.51,0.19,0.43,"absent",14.27,0.03,1.25,2.92,NA,NA,NA,1711077.32438021,5612657.97176313,83
"HWT-44","North Island","Taranaki Region","Hauraki-Waikato-Taranaki",1,NA,NA,NA,NA,2.13,21.62,96.43,"sand distance","grass distance","grass distance",1.98,0.47,0.45,"low","land cover",0,0.07,0,"present",91.72,0,0.39,0.81,NA,NA,NA,1720361.52882213,5604244.00062662,84
"HWT-45","North Island","Taranaki Region","Hauraki-Waikato-Taranaki",2.87,"70113; 70575","Victoria Conservation Area; Patea Coast Marginal Strip",0.05,1.64,72.65,2.18,57.1,"grass distance","grass distance","grass distance",1.12,0.51,0.71,"low","sand distance",50.04,0.03,0.04,"present",46.25,0.03,1.12,2.98,NA,NA,NA,1720482.95701857,5603420.72633303,85
"LNI-1","North Island","Gisborne Region","Lower North Island",1.23,"80293","Hicks Bay Conservation Area",0.15,12.4,32.67,35.68,84.3,"sand distance","grass distance","grass distance",1.25,0.42,0.44,"low","land cover",0,0,0,"present",42.85,0,0.79,1.91,NA,NA,NA,2067329.02657987,5827438.65966902,86
"LNI-2","North Island","Gisborne Region","Lower North Island",1.21,NA,NA,NA,NA,15.38,41.02,93.11,"sand distance","sand distance","grass distance",1.49,0.38,0.38,"low","land cover",0,0.07,0.39,"absent",65.53,0,0.76,2,NA,NA,NA,2070281.88704117,5823934.30562759,87
"LNI-3","North Island","Gisborne Region","Lower North Island",0.89,NA,NA,NA,NA,19.1,21.85,97.53,"sand distance","sand distance","grass distance",1.46,0.37,0.34,"low","land cover",0,0.06,0.15,"absent",68.28,0.18,0.89,1.53,NA,NA,NA,2072208.69458213,5822135.40360092,88
"LNI-4","North Island","Gisborne Region","Lower North Island",0.56,NA,NA,NA,NA,100,0,40.22,"grass distance","grass distance","grass distance",0.64,0.49,0.76,"intermediate","grass distance",0,1.43,0.21,"absent",24.61,0.03,0.65,2.19,NA,NA,NA,2084662.30564054,5806815.52795395,89
"LNI-5","North Island","Gisborne Region","Lower North Island",0.4,NA,NA,NA,NA,100,0,62.99,"grass distance","grass distance","grass distance",0.7,0.65,0.74,"low","grass distance",0,1.93,0.04,"absent",6.35,0.03,1.16,2.71,NA,NA,NA,2081311.04338993,5802553.36631175,90
"LNI-6","North Island","Gisborne Region","Lower North Island",0.76,"80239","Ahikouka Conservation Area",0,0,100,0,0.25,"grass distance","grass distance","grass distance",0.69,0.69,1.41,"low","inland water distance",0,7.56,0.07,"absent",32.91,4.21,7.2,11.3,NA,NA,NA,2076359.89677382,5795140.31007885,91
"LNI-7","North Island","Gisborne Region","Lower North Island",0.85,NA,NA,NA,NA,65.91,31.66,80.41,"grass distance","grass distance","grass distance",0.99,0.4,0.53,"low","sand distance",0,0.08,0,"present",66.39,0.03,0.72,1.46,NA,NA,NA,2056619.38518991,5719074.17171486,92
"LNI-8","North Island","Gisborne Region","Lower North Island",0.44,NA,NA,NA,NA,100,0,10.53,"grass distance","grass distance","grass distance",0.66,0.53,0.88,"intermediate","grass distance",0,0,0.67,"absent",27.19,1.62,1.95,2.68,NA,NA,NA,2045806.27673046,5709169.93255456,93
"LNI-9","North Island","Gisborne Region","Lower North Island",0.4,NA,NA,NA,NA,100,0,85.4,"grass distance","grass distance","grass distance",0.75,0.73,0.7,"none","slope",0,0.09,0.04,"absent",5.61,0.08,1.26,2.06,NA,NA,NA,2031170.03537371,5705250.29444914,94
"LNI-10","North Island","Gisborne Region","Lower North Island",3.13,"NA","Wherowhero Stream Marginal Strip (located on the East Coast, south of Gisborne)",0.01,0.22,33.77,58.71,82.95,"sand distance","grass distance","inland water distance",1.3,0.34,0.46,"low","land cover",0,0.11,0,"present",20.45,0,0.18,0.76,NA,NA,NA,2028644.69354097,5700659.48492203,95
"LNI-11","North Island","Hawke's Bay Region","Lower North Island",5.4,NA,NA,NA,NA,48.2,65.39,84.47,"sand distance","grass distance","grass distance",1.26,0.31,0.41,"low","slope",0,0.32,0,"present",39.71,0,0.37,2.38,NA,NA,NA,1993960.91695182,5667547.18633411,96
"LNI-12","North Island","Hawke's Bay Region","Lower North Island",0.69,"80434","Ngamotu Lagoon Wildlife Reserve",0.48,68.67,51.4,65.76,41.19,"sand distance","grass distance","inland water distance",1.23,0.27,0.64,"low","sand distance",0,0.53,0.43,"absent",2.74,0,0.09,0.68,NA,NA,NA,1983862.86136781,5667180.74756875,97
"LNI-13","North Island","Hawke's Bay Region","Lower North Island",0.83,"80653","Whakamahi Lagoon Wildlife Reserve",0.32,38.86,36.36,70.32,63.71,"sand distance","grass distance","inland water distance",1.51,0.25,0.47,"low","sand distance",0,0.12,0,"present",20.22,0,0.23,0.8,NA,NA,NA,1980952.88320034,5666802.69539247,98
"LNI-14","North Island","Hawke's Bay Region","Lower North Island",1.82,NA,NA,NA,NA,99.07,2.61,50,"grass distance","grass distance","grass distance",0.59,0.42,0.77,"low","grass distance",0,0,0,"present",52.2,0.03,1.1,3.96,NA,NA,NA,2010566.84489278,5666033.41181377,99
"LNI-15","North Island","Hawke's Bay Region","Lower North Island",1.22,NA,NA,NA,NA,58.65,23.95,72.52,"grass distance","grass distance","grass distance",1.2,0.44,0.58,"low","land cover",0,0.04,0.13,"absent",29.42,0,0.51,1.87,NA,NA,NA,2023410.45714628,5666249.36168859,100
"LNI-16","North Island","Hawke's Bay Region","Lower North Island",0.42,NA,NA,NA,NA,23.99,26.53,95.53,"sand distance","grass distance","grass distance",1.81,0.36,0.41,"low","land cover",0,0,0.19,"present",23.35,0.25,0.68,1.75,NA,NA,NA,2021543.61032946,5663466.11410193,101
"LNI-17","North Island","Hawke's Bay Region","Lower North Island",0.59,"80729","Earthquake Slip Marginal Strip",0.06,9.76,100,0,29.07,"grass distance","grass distance","grass distance",0.68,0.53,0.86,"strong","grass distance",0,6.33,0.17,"absent",24.46,0.03,1.19,2.27,NA,NA,NA,1952570.46061686,5655960.82271609,102
"LNI-18","North Island","Hawke's Bay Region","Lower North Island",1.11,"80016","Ahuriri Estuary Conservation Area",0.61,55.19,10.45,47.88,100,"sand distance","sand distance","coast distance",1.48,0.33,0.23,"low","land cover",0,0,0,"present",25.56,0.22,0.99,1.63,NA,NA,NA,1932969.0886158,5626078.44246186,103
"LNI-19","North Island","Hawke's Bay Region","Lower North Island",1.63,"80058","Grange Road Conservation Area",0,0.21,19.04,56.86,88.45,"sand distance","sand distance","grass distance",1.4,0.39,0.31,"low","land cover",0,0,0,"present",39.8,0,0.6,1.38,NA,NA,NA,1938173.92449077,5610342.60518933,104
"LNI-20","North Island","Hawke's Bay Region","Lower North Island",2.36,"80215","Waipuku Beach Marginal Strip",0.16,6.99,93.8,0,56.68,"grass distance","grass distance","grass distance",0.69,0.44,0.8,"intermediate","grass distance",0,0,0.05,"present",21.09,0.2,1.22,2.57,NA,NA,"Cape Kidnappers",1946744.55938307,5597913.66236419,105
"LNI-21","North Island","Hawke's Bay Region","Lower North Island",0.43,NA,NA,NA,NA,100,0,13.23,"grass distance","grass distance","grass distance",0.7,0.48,0.92,"intermediate","grass distance",0,2.55,2.27,"absent",7.57,0.56,1.51,2,NA,NA,NA,1931303.45204979,5557962.50002541,106
"LNI-22","North Island","Hawke's Bay Region","Lower North Island",0.83,NA,NA,NA,NA,59.98,18.76,88.62,"grass distance","grass distance","grass distance",1.22,0.49,0.52,"low","slope",0,0.03,0,"present",34.19,0.32,0.85,1.59,NA,NA,NA,1927493.11418136,5548689.13905943,107
"LNI-23","North Island","Hawke's Bay Region","Lower North Island",7.86,NA,NA,NA,NA,26.41,49.32,83.48,"sand distance","sand distance","grass distance",1.39,0.32,0.38,"low","sand distance",0,0.37,0,"present",22.5,0,0.37,1.3,0.14,NA,NA,1916674.59862224,5539569.25396508,108
"LNI-24","North Island","Manawatu-Wanganui Region","Lower North Island",7.39,"70025; 70029; 70045; 70847; 70715; 70603","Part Run 23 Conservation Area; Moanaroa Conservation Area; Scotts Conservation Area; Santoft Coastal Marginal Strip; Tangimoana Marginal Strip; Moana Roa Coast Marginal Strip",1.31,17.79,59.73,28.12,66.88,"grass distance","grass distance","grass distance",1.13,0.47,0.61,"low","slope",0,0,0,"absent",15.87,0,1.37,5.05,NA,NA,NA,1786278.98180531,5550432.26362661,109
"LNI-25","North Island","Hawke's Bay Region","Lower North Island",2.28,NA,NA,NA,NA,74.55,21.89,62.01,"grass distance","grass distance","grass distance",0.92,0.39,0.63,"low","sand distance",0,0.03,0.08,"absent",11.58,0,0.29,1.55,NA,NA,NA,1912599.76002209,5534530.92431913,110
"LNI-26","North Island","Manawatu-Wanganui Region","Lower North Island",9.68,"70715; 70801; 70047; 70067; 70813","Tangimoana Marginal Strip; Tawhirihoe Scientific Reserve; Tangimoana Beach Conservation Area; Foxton Conservation Area; Tangimoana Dunes Recreation Reserve",0.37,3.8,68.2,15.16,57.33,"grass distance","grass distance","grass distance",0.9,0.55,0.88,"low","inland water distance",0,0,0.68,"present",38.15,0,2.9,7.91,NA,NA,NA,1788940.48759399,5525852.84134831,111
"LNI-27","North Island","Manawatu-Wanganui Region","Lower North Island",1.88,"70848; S24502","Foxton Harbour Improvements Reserve; Manawatu River Marginal Strip",0.24,13,27.25,83.74,89.45,"sand distance","grass distance","inland water distance",1.32,0.27,0.31,"low","slope",0,0.35,0,"absent",17.6,0,0.19,0.72,NA,NA,NA,1789839.89794305,5516031.88267604,112
"LNI-28","North Island","Manawatu-Wanganui Region","Lower North Island",0.68,NA,NA,NA,NA,84.95,21.65,37.98,"grass distance","grass distance","grass distance",0.89,0.58,0.97,"low","inland water distance",0,0.35,0,"absent",19.24,0,2.43,5.9,NA,NA,NA,1899612.50000896,5509860.09175798,113
"LNI-29","North Island","Manawatu-Wanganui Region","Lower North Island",0.53,NA,NA,NA,NA,1.06,12.65,100,"sand distance","sand distance","grass distance",1.99,0.49,0.31,"low","inland water distance",0,0.74,0.18,"present",38.71,0.75,1.18,1.55,NA,NA,NA,1783899.58628909,5499695.18321595,114
"LNI-30","North Island","Manawatu-Wanganui Region","Lower North Island",6.46,"S24503; S25002; S25003","Waitarere Marginal Strip; Waikawa Conservation Area; Accretion Conservation Area",0.22,3.42,76.22,20.98,69.73,"grass distance","grass distance","grass distance",0.92,0.47,0.64,"low","sand distance",0,0,0.06,"present",28.61,0,0.8,3.44,NA,NA,NA,1783465.03763093,5500554.83404171,115
"LNI-31","North Island","Wellington Region","Lower North Island",2.9,"R25001; S25002","Otaki Conservation Area; Waikawa Conservation Area",0.21,7.09,44.5,30.59,85.36,"sand distance","grass distance","grass distance",1.26,0.4,0.48,"low","sand distance",0,0,0,"present",51.12,0,0.46,1.53,0.44,NA,NA,1779098.94411322,5488946.10708261,116
"LNI-32","North Island","Wellington Region","Lower North Island",0.38,NA,NA,NA,NA,54.15,58.86,28.13,"grass distance","grass distance","inland water distance",1.28,0.26,0.62,"low","sand distance",0,8.1,0,"absent",54.73,0,0.45,1.48,NA,NA,NA,1876154.97685774,5480757.56173787,117
"LNI-33","North Island","Wellington Region","Lower North Island",2.44,"R26019","Waikanae Estuary Scientific Reserve",0.01,0.33,54.32,11.91,83.78,"grass distance","grass distance","grass distance",1.25,0.5,0.54,"low","sand distance",63.34,0,0,"present",31.7,0,0.8,2.71,NA,NA,NA,1772631.58628861,5477214.29766982,118
"LNI-34","North Island","Wellington Region","Lower North Island",0.4,NA,NA,NA,NA,36.15,56.34,98.44,"sand distance","sand distance","grass distance",1.56,0.3,0.28,"low","land cover",0,0,0,"present",48.58,0.38,0.9,1.59,NA,NA,NA,1871829.32243533,5470606.65888724,119
"LNI-35","North Island","Wellington Region","Lower North Island",0.89,"R26016; R26017; R26018","Raumati No3 Conservation Area; Raumati No2 Conservation Area; Raumati No1 Conservation Area",0,0.11,29.65,0,98.59,"sand distance","grass distance","grass distance",1.21,0.57,0.47,"low","land cover",100,0,0.55,"absent",7.55,0.33,0.81,1.42,NA,NA,NA,1766789.22535252,5469983.13380328,120
"LNI-36","North Island","Wellington Region","Lower North Island",0.36,NA,NA,NA,NA,28.65,73.64,100,"sand distance","inland water distance","coast distance",1.67,0.23,0.31,"low","land cover",0,6.81,3.24,"present",80.7,0.18,0.87,1.62,NA,NA,NA,1860989.2135369,5453946.59491034,121
"LNI-37","North Island","Wellington Region","Lower North Island",2.71,"T27007; T27006","Motuwaireka Marginal Strip; Riversdale Marginal Strip",0.03,1.15,50.12,39.75,80.85,"sand distance","grass distance","grass distance",1.26,0.34,0.47,"low","sand distance",0,0,0,"present",24.25,0,0.96,2.15,NA,NA,NA,1857179.67311641,5444094.84346876,122
"LNI-38","North Island","Wellington Region","Lower North Island",0.5,NA,NA,NA,NA,96.76,11.47,34.66,"grass distance","inland water distance","inland water distance",0.49,0.52,1.2,"low","inland water distance",0,0.15,0,"present",70.59,5.24,7.08,9.37,NA,NA,NA,1846421.25935488,5429418.45387046,123
"LNI-39","North Island","Wellington Region","Lower North Island",2.05,"R28001; R27126; R28002; R27023","Turakirae Head Scientific Reserve; Lake Kohangatera and Lake Kohangapiripiri Scientific Reserve; Orongorongo Beach Marginal Strip; Lake Kohangatera Wildlife Reserve",0.14,6.63,68.44,45.6,43.41,"grass distance","grass distance","grass distance",1.06,0.33,0.66,"low","sand distance",0,0,0,"present",32.73,0,0.64,3.27,NA,NA,NA,1756381.75997647,5417002.06223975,124
"LNI-40","North Island","Wellington Region","Lower North Island",3.4,"S28002; S28016; S28001; S28003; S27001; R28004; R27052","Putangirua Pinnacles Scenic Reserve; Hurupi Marginal Strip; Aorangi Forest Park; Coastal Cliffs Conservation Area; Lake Wairarapa Wetland Conservation Area; Ocean Beach Conservation Area; Rimutaka Forest Park",1.53,45.1,87.4,19.92,33.38,"grass distance","grass distance","grass distance",0.81,0.45,0.94,"low","sand distance",0,0,0,"present",25.71,0,1.94,8.82,NA,NA,NA,1777647.94961443,5415272.29220378,125
"LNI-41","North Island","Wellington Region","Lower North Island",1.03,"NA","White Rock Reserve (located off the South Wairarapa Coast)",0.02,2.39,76.19,22.18,61.33,"grass distance","grass distance","grass distance",0.84,0.4,0.84,"low","inland water distance",0,9.8,0,"present",43.16,0.03,2.47,5.54,NA,NA,NA,1799785.2204117,5395444.82186142,126
"LNI-42","North Island","Wellington Region","Lower North Island",0.93,NA,NA,NA,NA,100,0.81,8.04,"grass distance","grass distance","grass distance",0.53,0.56,1.59,"intermediate","inland water distance",0,0,0,"present",63.76,14.34,16.16,16.91,NA,NA,NA,1784941.45003447,5397478.48582134,127
"NNI-1","North Island","Northland Region","Northern North Island",2.39,"N02004","Mokaikai Scenic Reserve",0.17,7.24,43.47,54.7,92.93,"sand distance","grass distance","grass distance",1.26,0.32,0.36,"low","sand distance",0,25.02,0,"present",5.2,0,1.12,2.62,NA,NA,"Tom Bowling Bay; Whareana Bay; Waikuku Beach",1598106.35908624,6190816.69019507,128
"NNI-2","North Island","Northland Region","Northern North Island",0.61,"N02001","Te Paki Recreation Reserve",0.52,84.87,95.18,8.92,16.92,"grass distance","grass distance","grass distance",0.61,0.59,1.34,"low","inland water distance",0,0.44,0,"absent",NA,3.94,5.04,6.34,NA,NA,NA,1572872.70512821,6189980.75641025,129
"NNI-3","North Island","Northland Region","Northern North Island",2.46,NA,NA,NA,NA,74.5,18.5,66.72,"grass distance","grass distance","grass distance",0.91,0.57,0.85,"low","inland water distance",0,27.23,0.52,"absent",0.49,1.8,2.67,4.01,NA,NA,"Tom Bowling Bay; Whareana Bay; Waikuku Beach",1600155.13846545,6189672.80868902,130
"NNI-4","North Island","Northland Region","Northern North Island",2.56,"N02001","Te Paki Recreation Reserve",1.97,76.81,55.97,45.54,64.52,"grass distance","grass distance","grass distance",1.15,0.33,0.52,"low","forest distance",0,7.97,0.03,"absent",0.53,0,0.73,2.56,NA,NA,"Tom Bowling Bay",1583980.28143275,6188127.15034113,131
"NNI-5","North Island","Northland Region","Northern North Island",0.66,"N02004","Mokaikai Scenic Reserve",0.57,86.34,93.39,0,58.73,"grass distance","grass distance","grass distance",0.68,0.43,0.72,"none","sand distance",0,28.15,0.74,"absent",NA,0.03,0.55,1.59,NA,NA,"Tom Bowling Bay; Whareana Bay; Waikuku Beach",1600177.01460886,6187099.70546654,132
"NNI-6","North Island","Northland Region","Northern North Island",11.47,"N02001","Te Paki Recreation Reserve",0.13,1.09,66.73,26.65,75.99,"grass distance","grass distance","grass distance",1.01,0.47,0.69,"low","inland water distance",0,0.76,2.05,"present",0.73,0,1.83,5.13,NA,NA,NA,1571892.68220476,6184661.57955648,133
"NNI-7","North Island","Northland Region","Northern North Island",3.95,"N02004","Mokaikai Scenic Reserve",1.01,25.55,47.78,37.45,92.19,"sand distance","grass distance","grass distance",1.32,0.42,0.46,"low","sand distance",4.97,30.34,2.89,"absent",7,0.03,0.9,2.23,NA,NA,"Tom Bowling Bay; Whareana Bay; Waikuku Beach",1599536.69809107,6182656.8357847,134
"NNI-8","North Island","Northland Region","Northern North Island",0.6,NA,NA,NA,NA,0.1,9.31,100,"sand distance","grass distance","grass distance",2.16,0.53,0.32,"low","sand distance",0,6.28,1.3,"absent",NA,0.12,0.46,0.77,NA,NA,NA,1600170.86820084,6167617.65167364,135
"NNI-9","North Island","Northland Region","Northern North Island",24.03,"N03003","Paxton Point Conservation Area",0.62,2.58,77.75,12.15,89.14,"grass distance","grass distance","grass distance",0.93,0.48,0.55,"low","sand distance",0,1.25,0,"present",14.8,0,0.87,2.35,NA,NA,"Whareana Bay",1600020.18954479,6171553.99379946,136
"NNI-10","North Island","Northland Region","Northern North Island",5.08,NA,NA,NA,NA,59.92,23.43,70.6,"grass distance","grass distance","grass distance",1.09,0.49,0.72,"low","inland water distance",0,2.88,0,"present",15.08,0.39,2.24,4.76,NA,NA,NA,1612177.95742267,6152619.93759703,137
"NNI-11","North Island","Northland Region","Northern North Island",3.55,NA,NA,NA,NA,40.63,29.67,87.85,"sand distance","inland water distance","grass distance",1.35,0.44,0.48,"low","inland water distance",0,0,0,"present",5.28,0.69,1.87,5.16,NA,NA,NA,1610523.93754301,6150725.27529248,138
"NNI-12","North Island","Northland Region","Northern North Island",3.95,"O03001; O03002; O03003","Maitai Bay Recreation Reserve; Puwheke Recreation Reserve; Karikari Conservation Area",0.58,14.62,47.6,31.07,86.89,"sand distance","grass distance","grass distance",1.11,0.42,0.46,"none","inland water distance",0,1,0.18,"present",0.77,0.4,1.7,2.91,NA,NA,NA,1633351.81924883,6143344.36228482,139
"NNI-13","North Island","Northland Region","Northern North Island",1.99,"O03002; O03003; O03004; O03005","Puwheke Recreation Reserve; Karikari Conservation Area; Puwheke Beach Marginal Strip; Puwheke Road Marginal Strip",0.28,13.94,47.08,46.55,90.88,"sand distance","grass distance","grass distance",1.22,0.39,0.43,"low","sand distance",0,1.7,0,"absent",2.98,0,0.55,1.5,NA,NA,NA,1629108.05706933,6141952.78156222,140
"NNI-14","North Island","Northland Region","Northern North Island",0.59,"N03013","East Beach Conservation Area",0.09,15.87,100,0,2.95,"grass distance","grass distance","grass distance",0.73,0.67,1.52,"low","grass distance",0,5.94,5.34,"absent",NA,2.52,3.42,4.35,NA,NA,NA,1619583.2368421,6140251.92105264,141
"NNI-15","North Island","Northland Region","Northern North Island",1.85,"N03013; N03020","East Beach Conservation Area; Motutangi Stream Marginal Strip",0.42,22.71,100,0,12.8,"grass distance","grass distance","grass distance",0.68,0.63,1.22,"low","grass distance",0,0.03,0.36,"absent",0.14,0.03,3.96,8.12,NA,NA,NA,1618456.37271498,6142237.66926203,142
"NNI-16","North Island","Northland Region","Northern North Island",0.46,"N03013","East Beach Conservation Area",0.03,6.08,39.17,0,91.39,"sand distance","grass distance","grass distance",1.35,0.5,0.49,"low","grass distance",0,12.01,0.26,"absent",NA,0.03,0.46,0.76,NA,NA,NA,1624830.29946164,6138998.36810229,143
"NNI-17","North Island","Northland Region","Northern North Island",6.32,"O04088; O04002; O04003","Tokerau Beach Marginal Strip; Tokerau Beach Conservation Area; Rangaunu Conservation Area",2.25,35.64,39.3,39.55,95.24,"sand distance","grass distance","grass distance",1.26,0.38,0.39,"low","sand distance",6.54,0,0,"present",14.67,0.03,0.84,2.28,NA,NA,NA,1634928.03309727,6134012.07952199,144
"NNI-18","North Island","Northland Region","Northern North Island",21.71,"N04005; N04029; N02001","Waipapakauri Beach Conservation Area; Waipapakauri Beach North Conservation Area; Te Paki Recreation Reserve",0.01,0.06,86.47,13.23,60.67,"grass distance","grass distance","grass distance",0.72,0.54,0.86,"low","inland water distance",0,0.08,0,"present",3.27,0,2.73,12.65,NA,NA,NA,1585093.79106209,6168785.98681824,145
"NNI-19","North Island","Northland Region","Northern North Island",0.67,NA,NA,NA,NA,100,0,69.36,"grass distance","grass distance","grass distance",0.71,0.7,0.74,"none","slope",0,0.03,0.06,"absent",0.08,0.11,1.54,2.3,NA,NA,NA,1667224.71804512,6118893.60902256,146
"NNI-20","North Island","Northland Region","Northern North Island",1.53,"N04010; N04022","Ahipara Recreation Reserve; Ninety Mile Beach Marginal Strip",0.19,12.13,91.37,8.51,59,"grass distance","grass distance","grass distance",0.74,0.5,0.69,"low","sand distance",0,0,0.03,"absent",26.28,0,0.89,2.08,NA,NA,NA,1615117.84405537,6113537.33713352,147
"NNI-21","North Island","Northland Region","Northern North Island",4.05,"N05001","Ahipara Conservation Area",0,0.01,56.88,17.12,97.98,"grass distance","grass distance","grass distance",1.23,0.45,0.53,"low","sand distance",0,4.18,2.8,"absent",16.1,0.07,1.04,2.25,NA,NA,NA,1607005.96539162,6106546.30768063,148
"NNI-22","North Island","Northland Region","Northern North Island",1.98,"N05001","Ahipara Conservation Area",1.98,99.93,78.48,0,94.56,"grass distance","grass distance","grass distance",0.68,0.49,0.74,"low","sand distance",0,3.49,1.6,"absent",NA,0.09,1.24,2.26,NA,NA,NA,1608690.98278002,6104646.85463853,149
"NNI-23","North Island","Northland Region","Northern North Island",0.41,NA,NA,NA,NA,37.2,46.95,100,"sand distance","grass distance","grass distance",1.4,0.38,0.32,"low","land cover",100,0,0,"present",12.96,0.23,0.71,1.1,NA,NA,NA,1689593.25457318,6103881.25000001,150
"NNI-24","North Island","Northland Region","Northern North Island",0.71,"P05094; P05093","Okura River Marginal Strip No 1; Kerikeri Inlet Marginal Strip No 1",0,0.28,59.93,24.71,98.94,"grass distance","grass distance","grass distance",1.12,0.53,0.46,"low","slope",0,0,0.07,"absent",6.16,0.23,0.62,1,NA,NA,NA,1690373.53839443,6103103.92670157,151
"NNI-25","North Island","Northland Region","Northern North Island",3.81,"N05001","Ahipara Conservation Area",0.25,6.67,78.25,0,60.65,"grass distance","grass distance","grass distance",0.67,0.45,0.82,"low","grass distance",0,5.59,0.18,"absent",1.5,0.03,1.1,2.63,NA,NA,NA,1608574.64112903,6102796.66935485,152
"NNI-26","North Island","Northland Region","Northern North Island",1.35,NA,NA,NA,NA,100,0,27.51,"grass distance","grass distance","grass distance",0.65,0.51,0.88,"low","grass distance",0,10.75,4.21,"absent",7.02,0.03,1.25,2.8,NA,NA,NA,1613445.11363637,6096330.43181819,153
"NNI-27","North Island","Northland Region","Northern North Island",0.35,NA,NA,NA,NA,100,0,50.71,"grass distance","grass distance","grass distance",0.71,0.71,0.82,"none","slope",0,2.16,0.1,"absent",NA,0.03,1.61,3.1,NA,NA,NA,1650305.78621908,6085952.34098939,154
"NNI-28","North Island","Northland Region","Northern North Island",0.45,"O05027","Rangiora Conservation Area",0,0,100,0,47.65,"grass distance","grass distance","grass distance",0.71,0.68,0.79,"none","slope",89.75,0.03,0.03,"absent",3.5,0.21,1.63,2.69,NA,NA,NA,1645856.89058172,6084746.50277007,155
"NNI-29","North Island","Northland Region","Northern North Island",0.45,"O05086","Rawene Marginal Strip No 1",0,0.1,76.47,35.99,60.92,"grass distance","grass distance","grass distance",0.96,0.5,0.61,"low","slope",0,0,0.1,"absent",4.4,0,0.83,1.97,NA,NA,NA,1645449.53576341,6081694.65268226,156
"NNI-30","North Island","Northland Region","Northern North Island",0.99,"NA","Marginal Strip - Former Mitimiti Conservation Area",0.01,0.56,100,0,36.35,"grass distance","grass distance","grass distance",0.63,0.5,0.91,"low","grass distance",0,17.8,0.03,"present",13.67,0.03,1.4,3.1,NA,NA,NA,1623652.57585335,6080792.80973451,157
"NNI-31","North Island","Northland Region","Northern North Island",0.42,NA,NA,NA,NA,42.12,35.49,95.58,"sand distance","grass distance","grass distance",1.39,0.45,0.36,"low","slope",0,2.34,0,"absent",10.54,0.18,0.88,2,NA,NA,NA,1635927.52177068,6079269.68432511,158
"NNI-32","North Island","Northland Region","Northern North Island",0.87,NA,NA,NA,NA,38.88,41.89,89.96,"sand distance","grass distance","grass distance",1.33,0.42,0.37,"low","slope",0,2.91,0,"present",14.83,0.08,1.16,2.21,NA,NA,NA,1634893.94073811,6077801.58800567,159
"NNI-33","North Island","Northland Region","Northern North Island",0.46,NA,NA,NA,NA,88.32,27.61,54.53,"grass distance","grass distance","grass distance",0.69,0.56,0.81,"low","inland water distance",0,0.49,0.07,"present",11.06,1.72,2.91,4.13,NA,NA,NA,1638026.53269755,6076565.32697547,160
"NNI-34","North Island","Northland Region","Northern North Island",2.77,"O06056","Te Pouahi Marginal Strip",0.22,7.99,100,0,25.6,"grass distance","grass distance","grass distance",0.64,0.57,1.27,"low","grass distance",0,11.02,0.05,"absent",7.69,0.03,2.69,5.46,NA,NA,NA,1628758.78801431,6073774.62544723,161
"NNI-35","North Island","Northland Region","Northern North Island",2.04,NA,NA,NA,NA,83.6,0,30.6,"grass distance","grass distance","grass distance",0.9,0.58,1.2,"low","inland water distance",0,5.27,0,"present",10.31,0.8,3.59,6.27,NA,NA,NA,1633707.87206466,6072206.91140591,162
"NNI-36","North Island","Northland Region","Northern North Island",0.76,"Q06097","Ngunguru Sandspit Reserve",0.53,70.1,99.59,0,64.11,"grass distance","grass distance","grass distance",0.67,0.47,0.73,"none","sand distance",0,337.23,0.59,"absent",2.89,0.03,0.32,1.03,NA,NA,NA,1736546.80280539,6055159.69471954,163
"NNI-37","North Island","Northland Region","Northern North Island",2.7,"O07011; O06024; O06025; O06018","Mauganui Bluff Marginal Strip; Muriwai Conservation Area; Kawerua Conservation Area; Taha Moana Scenic Reserve",0.57,21.04,76.96,13.12,65.29,"grass distance","grass distance","grass distance",0.94,0.44,0.63,"low","sand distance",0,9.64,0.64,"present",19.01,0,0.71,3.39,NA,NA,NA,1645773.87254902,6049431.61764705,164
